feature_1,feature_2,interaction_correlation,correlation_gain,promising
feature_5,feature_7,0.039331088960190976,0.03539659516846684,False
feature_7,feature_8,0.019016479056505525,0.013923134143224977,False
feature_5,feature_8,0.018628116203820905,0.013534771290540357,False
feature_3,feature_5,0.25038703361423736,0.0038554203268048037,False
feature_5,feature_6,0.01754584391270503,-0.0029900487468767292,False
feature_4,feature_8,0.0164648940012245,-0.00450802377122464,False
feature_4,feature_5,0.014705523796437714,-0.006267393976011426,False
feature_6,feature_8,0.011923895206901472,-0.008611997452680289,False
feature_4,feature_7,0.00795669102827477,-0.01301622674417437,False
feature_4,feature_6,0.003180566267999792,-0.017792351504449348,False
feature_6,feature_7,0.0018743003948497032,-0.018661592264732057,False
feature_3,feature_7,0.1881060964561828,-0.058425516831249774,False
feature_3,feature_4,0.17173628313214656,-0.074795330155286,False
feature_1,feature_7,0.33325760772061574,-0.08053858889462745,False
feature_2,feature_7,0.4880460196996318,-0.11060252535826476,False
feature_1,feature_4,0.27267901190448396,-0.14111718471075924,False
feature_2,feature_4,0.4162516352479893,-0.18239690980990725,False
feature_3,feature_6,0.034650661347922954,-0.21188095193950962,False
feature_3,feature_8,0.012011798883419088,-0.23451981440401348,False
feature_1,feature_2,0.36377584265095664,-0.23487270240693991,False
feature_1,feature_5,0.0409879630292109,-0.3728082335860323,False
feature_1,feature_6,0.014655893750970393,-0.3991403028642728,False
feature_1,feature_8,0.005842449447652034,-0.40795374716759114,False
feature_1,feature_3,0.0028550194353193672,-0.41094117717992384,False
feature_2,feature_5,0.02346650171819008,-0.5751820433397065,False
feature_2,feature_6,0.0189281263690364,-0.5797204186888602,False
feature_2,feature_3,0.006128740426915615,-0.592519804630981,False
feature_2,feature_8,0.005328252129126643,-0.5933202929287699,False
